TransactionID,ProductID,CustomerID,Date,Quantity,UnitPrice,StoreID
T100000,P0050,C0464,2025-03-14,5,1276,S01
T100001,P0098,C0295,2025-05-29,4,782,S08
T100002,P0001,C0483,2025-05-13,3,401,S05
T100003,P0097,C0200,2025-05-30,4,938,S09
T100004,P0096,C0377,2025-07-07,5,368,S10
T100005,P0029,C0250,2025-04-19,2,323,S05
T100006,P0056,C0249,2025-06-22,1,474,S07
T100007,P0044,C0343,2025-05-17,4,1062,S03
T100008,P0060,C0471,2025-06-12,2,810,S10
T100009,P0069,C0014,2025-05-10,4,984,S10
T100010,P0073,C0340,2025-04-27,1,1115,S02
T100011,P0083,C0220,2025-04-28,2,1127,S08
T100012,P0024,C0026,2025-06-27,3,572,S07
T100013,P0042,C0109,2025-05-23,4,981,S06
T100014,P0044,C0390,2025-02-09,4,1062,S05
T100015,P0097,C0488,2025-07-05,4,938,S05
T100016,P0011,C0241,2025-01-15,1,1201,S09
T100017,P0007,C0488,2025-06-25,3,563,S04
T100018,P0084,C0036,2025-05-15,1,847,S01
T100019,P0032,C0103,2025-07-09,1,302,S10
T100020,P0020,C0123,2025-06-08,2,1310,S08
T100021,P0086,C0059,2025-02-19,5,979,S04
T100022,P0060,C0359,2025-02-13,3,810,S06
T100023,P0022,C0311,2025-04-07,5,882,S02
T100024,P0100,C0420,2025-06-09,2,1217,S05
T100025,P0014,C0297,2025-05-21,1,956,S05
T100026,P0074,C0347,2025-04-03,4,1372,S07
T100027,P0092,C0102,2025-03-31,1,1212,S10
T100028,P0089,C0426,2025-05-05,2,939,S02
T100029,P0090,C0396,2025-06-11,3,1275,S10
T100030,P0016,C0408,2025-06-27,5,809,S01
T100031,P0045,C0273,2025-07-03,4,772,S06
T100032,P0009,C0260,2025-05-17,3,915,S01
T100033,P0054,C0422,2025-03-24,4,1115,S02
T100034,P0056,C0492,2025-04-06,3,474,S08
T100035,P0091,C0079,2025-02-04,4,1045,S03
T100036,P0094,C0268,2025-03-01,3,1026,S10
T100037,P0069,C0397,2025-06-29,4,984,S08
T100038,P0056,C0423,2025-04-10,5,474,S05
T100039,P0042,C0437,2025-04-05,2,981,S02
